Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Event Purchase/EP-07/Page_Online event bersertifikat dari prakti_f42b96/h3_No available event  close""))",Chrome 111.0.0.0,,,2023-03-30 21:36:10,2023-03-30 21:36:12,1.585s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-30 21:36:12,2023-03-30 21:36:13,1.217s,PASSED
,,,,,,,
Test Cases/Web/EP/EP-08,Chrome 111.0.0.0,Open event detail from /event page,,2023-03-30 21:36:13,2023-03-30 21:36:27,13.428s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-30 21:36:14,2023-03-30 21:36:16,1.757s,PASSED
"navigateToUrl(""https://demo-app.online/event"")",Chrome 111.0.0.0,,,2023-03-30 21:36:16,2023-03-30 21:36:21,5.095s,PASSED
"click(findTestObject(""Object Repository/Event Purchase/EP-08/Page_Online event bersertifikat dari prakti_f42b96/div_Day 3 Predict using Machine Learning   _e04a14""))",Chrome 111.0.0.0,,,2023-03-30 21:36:21,2023-03-30 21:36:26,4.870s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-30 21:36:26,2023-03-30 21:36:27,0.958s,PASSED
,,,,,,,
Test Cases/Web/EP/EP-09,Chrome 111.0.0.0,"""Open event detail from another event 
page""",,2023-03-30 21:36:27,2023-03-30 21:36:48,21.279s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-30 21:36:27,2023-03-30 21:36:29,2.393s,PASSED
"navigateToUrl(""https://demo-app.online/event"")",Chrome 111.0.0.0,,,2023-03-30 21:36:29,2023-03-30 21:36:33,3.756s,PASSED
"click(findTestObject(""Object Repository/Event Purchase/EP-09/Page_Online event bersertifikat dari prakti_f42b96/div_Day 3 Predict using Machine Learning   _e04a14""))",Chrome 111.0.0.0,,,2023-03-30 21:36:33,2023-03-30 21:36:37,3.726s,PASSED
"click(findTestObject(""Object Repository/Event Purchase/EP-09/Page_Day 3 Predict using Machine Learning - Ziyad/div_Day 4 Workshop                         _1068dc""))",Chrome 111.0.0.0,,,2023-03-30 21:36:37,2023-03-30 21:36:40,3.174s,PASSED
"click(findTestObject(""Object Repository/Event Purchase/EP-09/Page_Day 4 Workshop - Ziyad/div_Day 3 Predict using Machine Learning   _f36cb4""))",Chrome 111.0.0.0,,,2023-03-30 21:36:40,2023-03-30 21:36:43,3.326s,PASSED
"click(findTestObject(""Object Repository/Event Purchase/EP-09/Page_Day 3 Predict using Machine Learning - Ziyad/div_Day 2 Data Wrangling with Python       _c4c77e""))",Chrome 111.0.0.0,,,2023-03-30 21:36:43,2023-03-30 21:36:47,3.364s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-30 21:36:47,2023-03-30 21:36:48,1.164s,PASSED
